state-code, urban-percentage,rural-percentage, p-value
00,13.424759674746731,4.243962545210197,0.2925857693317367
01,24.393736299392817,13.819891392898159,0.45029414536385326
02,9.653446653266565,4.546870572615183,0.28046983137625403
03,34.60902462567599,24.393583742615395,0.5122990444818828
04,30.943856500844163,15.01500465661757,0.4083200365024846
05,3.843817904082788,1.0034313141737177,0.2552548203036259
06,6.871713663593377,3.4099870261468053,0.269625154386727
07,8.264202742041478,1.3063129710148387,0.37360586590628253
08,2.33013854635286,1.1835006486945954,0.23536044265217723
09,2.9617128534012864,0.8162955315248313,0.21716581587624478
10,3.5711466968577015,1.3673991381290627,0.2951064128543871
11,41.168656969097135,25.859137547346933,0.633433585085142
12,39.71307846702104,27.43112538190739,0.6266025383616275
13,40.50941737336374,21.753333484898434,0.5584931313272674
14,28.85977888974938,18.602866979284148,0.4269016382986299
15,6.094922617621391,3.4480002283821976,0.31040347580621874
16,9.059621219133957,4.109658229565443,0.48349144910013275
17,25.464438659837096,5.199501231109044,0.2946460738304717
18,31.445056111775223,11.076842742095227,0.4168675565083009
19,7.62014865293035,1.067934633635984,0.3212184237343253
20,8.330164106893921,3.720611789875847,0.3504088231458353
21,30.90118932169141,9.611126638456655,0.34299916600863845
22,3.791763744650921,1.006953247204031,0.2819380809169151
23,3.464053867067808,1.0707111789615789,0.25005027185373635
24,21.51588713075813,8.737057679479829,0.3668816402556122
25,14.652914121333763,12.929664216173256,0.42143816045879123
26,19.8374793735795,21.65754666491912,0.8646044048833006
27,26.86387583643903,9.865760769603337,0.4049709903157295
28,14.11408417887546,4.189923150298052,0.3019219158496437
29,24.481297311830097,5.466301977336934,0.3539057559107097
30,52.87390798995163,47.44721612524944,0.9610829947914404
31,15.842803782881665,14.192772788345945,0.4029473459549682
32,11.474606157568601,7.786231403970034,0.300994620920483
33,5.379815931523044,1.5274651157855887,0.3408102052446482
34,7.814220530446684,1.2725202429149798,0.3652694610349323
35,24.09400089206066,16.084827472763852,0.6063676739427408
