state-code, male-percentage,female-percentage, p-value
00,28.34988205068499,23.535735788935654,0.3079869146413412
01,54.73579290739388,43.18804400878549,0.5139674642002977
02,19.643622843222598,16.51740355198421,0.271846391708621
03,49.75716667241596,43.88810086910946,0.5580203155393895
04,55.60850269433389,54.13416963817459,0.8353531765925009
05,19.128170902062042,15.661130128024162,0.26410889096700757
06,24.14012013871485,19.986255904664425,0.29248681751206534
07,42.1978461669244,38.77586574904671,0.6126234357671316
08,12.348233159255702,9.34395516743117,0.2523785677014012
09,12.739130963277265,10.032011238722562,0.23198909918299
10,17.39833391911225,14.689080241691832,0.28490515752195145
11,66.0352245643359,61.097295022382056,0.887091647521385
12,67.01288113941214,60.84247142867807,0.6717645283318241
13,64.59763294552575,59.529508215626514,0.596513567163046
14,52.84960370808558,44.33597608819594,0.4756514773063196
15,31.361744808126208,25.01333353018361,0.34004108545234835
16,38.06594834761008,30.84686595081746,0.36054056409899926
17,29.566331865786495,25.845780874908563,0.33317841323140696
18,50.06074553546193,42.45467401600654,0.42593500991975364
19,18.76206057434178,14.040744021735808,0.25873341654236975
20,32.333798869070066,28.18879699665316,0.3480005441976308
21,37.0806504352037,28.7034123071087,0.3404430959649124
22,14.187141716658633,12.29991135359187,0.27731574274939913
23,14.555605816883443,12.377679614644252,0.2754390560257623
24,47.821973461843065,37.42033074537508,0.42460973830388316
25,47.41152753474694,48.81221354334775,0.528023720928311
26,58.42846820809249,57.20078159907702,0.4443108130463198
27,55.002194596382445,46.895073249426574,0.5179782165121061
28,28.730856352079844,22.282029048357078,0.3019407510316223
29,42.0868322983653,37.23934767716033,0.39123452928920655
30,79.46857158319128,74.89077779553936,0.9768945827874435
31,34.2299912447544,23.014354066985646,0.30471993419439314
32,26.786108699270972,22.270240914584328,0.30008737967849475
33,30.441442831259913,26.147170482535575,0.3268195862533392
34,34.86990437722751,28.123731198126656,0.33901342275389434
35,70.18154393678742,64.73861909853132,0.7363187059316488
