state-code, urban-percentage,rural-percentage, p-value
00,59.60095185407026,80.49274855253414,0.2925857693317367
01,41.281389427252726,54.246700175449,0.45029414536385326
02,62.067207705445625,84.10767399875326,0.28046983137625403
03,42.76410774500137,59.16108401014011,0.5122990444818828
04,44.644939544589704,59.56331275223346,0.4083200365024846
05,69.74671223721346,88.13078783803333,0.2552548203036259
06,67.54370538321031,83.29709833071047,0.269625154386727
07,58.95569396573344,76.44317276072566,0.37360586590628253
08,81.07611500059977,91.75340393789931,0.23536044265217723
09,73.13025042800815,92.97058438018725,0.21716581587624478
10,75.91831819245695,84.91440289059399,0.2951064128543871
11,25.269895427730532,39.993304142897465,0.633433585085142
12,28.385885199877748,38.23237599380321,0.6266025383616275
13,25.708536059940524,42.769208034465905,0.5584931313272674
14,48.36181328627568,52.61876496309926,0.4269016382986299
15,67.38309567991381,76.55104817912776,0.31040347580621874
16,71.93206532196582,63.17956662281969,0.48349144910013275
17,41.45234696448065,80.02487097496498,0.2946460738304717
18,39.09952434238436,56.04937868172958,0.4168675565083009
19,72.30515778330474,88.79344139621959,0.3212184237343253
20,62.027658680552186,72.10803975705838,0.3504088231458353
21,45.83356178544463,71.31475038919878,0.34299916600863845
22,78.28262540302838,89.31652811834948,0.2819380809169151
23,77.68081814084672,89.85993486284065,0.25005027185373635
24,43.89607910761057,67.00253921293651,0.3668816402556122
25,51.9663551197423,52.316378568117095,0.42143816045879123
26,44.798405927955415,39.74682438262503,0.8646044048833006
27,34.98165098493437,60.39599926402064,0.4049709903157295
28,62.00831529736534,80.72728179855179,0.3019219158496437
29,42.81654224280899,71.33001693251295,0.3539057559107097
30,21.33888537230347,25.173318156855423,0.9610829947914404
31,70.1064928872288,75.19977370765858,0.4029473459549682
32,72.70200062428907,78.17273462771594,0.300994620920483
33,64.70000950814263,78.26885281304467,0.3408102052446482
34,63.493414857526155,79.50885627530364,0.3652694610349323
35,26.945110392506688,35.637070685342884,0.6063676739427408
